ID,TXT
0,未知
1,设备全阻
2,设备局部故障
3,设备性能下降
4,可能设备全阻
5,可能设备局部故障
6,无影响
7,可能存在物理连接中断
8,设备可能受阻
9,网元告警传送
17,影响告警输出
20,有影响
21,可能设备性能下降
22,业务受影响
23,可能业务受影响
24,资源受限
25,设备受影响
26,可能设备受影响
27,不影响设备
28,可能设备部分故障
29,设备部分故障
30,外部因素可能危及设备
31,影响系统长期稳定运行。
32,放大盘的激光器停止工作。
33,影响业务正常运行。
34,告警单盘不能正常工作。
35,影响激光器长期稳定工作。
36,在网管上对告警机盘下发了激光器“关”控制命令。
37,导致业务产生误码或中断。
38,告警机盘不能正常工作。
39,无
40,影响告警机盘长期稳定运行。
41,业务强制在备用线路工作，无法正常倒换。
42,业务强制在主用线路工作，无法正常倒换。
43,可能设备故障
44,不影响设备
45,可能设备部分故障
46,某ATM口有SDH/SONET无法使用
47,设备可能全阻
48,设备性能告警
49,可能局部设备故障
50,告警箱告警无法接收
51,系统时间不同步
52,系统发生倒换
53,CMM相关内容无法上报网管
54,备份内容不成功
55,单元故障
56,可能单元故障
57,可能设备服务质量降低
58,可能设备性能降低
59,可能影响
60,无影响，但需要及时处理
61,是否影响需要看具体情况
62,影响系统长期稳定运行
63,放大盘的激光器停止工作
64,设备故障
65,链路拥塞
1416,单板被闭塞，单板所承载的业务中断。
1417,"1. 由于到同一局向的多条MTP3链路以负荷分担方式工作，因此如果到某一局向的部分MTP3链路故障，则导致处于业务态的MTP3链路负载增大。
2. 如果到某一局向的MTP3链路全部故障，将导致到该局向的信令业务不能正常接续。"
1418,拥塞会导致传输延迟，一般情况下对业务无影响，严重时会导致呼损或业务接入成功率下降。
1419,偶联中断，可能影响偶联的上层业务（一般是信令链路）。例如可能会引起信令局向不可达，或可能导致其他可用偶联业务量增大。
1420,本通路不可用，但不影响业务。
14001,设备局部受阻
14002,设备可能受阻
14003,设备全部受阻
14004,单元故障
14005,可能单元故障
14006,可能设备性能下降
14007,"This alarm is based on tracking the frequency of OOS alarms and clears for the MMS. When the MMS has reported OOS alarms and clears 10 times within the last 10 minutes(the MMS is unstable), the last clear is reported but the MMS is kept OOS and this alarm is reported.This alarm can be cleared by an INS of the MMS which will put the MMS back into service(if no OOS alarms are active). Also, there is a periodic audit of how frequently the OOS alarms and clears are occurring. Anytime the occurrences fall below the threshold, this alarm is cleared and the MMS enabled."
14008,可能影响OMC设备正常运行
14009,可能业务受影响
14010,业务受影响
14011,业务质量下降
14012,可能业务全阻
14013,可能设备受影响
14014,可能设备故障
14015,部分影响
14016,影响
14017,影响设备运行安全
14020,影响系统时钟
14021,各省自行梳理
14022,可能存在物理连接中断
14023,网元告警传送
14024,端口故障
14025,相关报告传送
14026,无
14027,不影响设备
14028,可能设备部分故障
14029,设备部分故障
14030,外部因素可能危及
14031,设备可能离线
14032,内部通信故障
14033,路由故障
14034,日志告警
14035,可能链路故障
14036,视监控指标决定
14037,网管设备运行受影响
14038,OMM无法获取该设备的告警和性能数据
14039,该业务节点工作不正常
14040,入库相关数据丢失
14041,与该DB相关业务会产生异常
14042,通过该接口机的信息无法发送
14043,可能会造成话单丢失
14044,在异常情况下无法恢复数据库
14045,无法进行FTP操作
14046,视门限告警内容而定
14047,可能造成程序异常
14048,CPU负荷过高可能会引起设备运行异常，如果配置了CPU话控功能，业务量很大时可能会导致呼叫失败，注册失败等业务质量下降。
14049,新注册用户由于CPU过载被阻塞
14050,边界网关上配置的试用License所承载的注册、呼叫将会中断
14051,对于设备而言我们以前主要是用flash来存储文件，后来增加了硬盘，只有在硬盘不工作的情况下才用flash，所以如果设备有硬盘的话，这类告警通常没有，因为读写的都为硬盘介质，但如果只有flash的设备的话，那么影响是比较大的，因为flash上放置的是版本和配置，如果是硬件坏了，那么整个设备都不起作用了，如果是更新软件的话，那回退版本还是没有问题的。
14053,可能会引起设备运行温度过高。
14055,引起这个端口的网络功能异常，业务中断
14057,在ia口链路down时，所有的ia口消息都不能正常的发送到对端设备。
14059,可能产生主备倒换、或产生呼损
14061,如协议未配置呼叫放通会导致呼损
14063,可能会产生呼损
14064,可能导致呼唤或主备倒换
14065,对应的补丁故障或者功能无法实现
14066,设备序列号异常无法激活license，业务中断，系统复位
14067,特通监听的TCP链接出问题后，会导致特通监听无法监听
14068,DNS查询失败，相关注册、呼叫业务受阻
14069,业务使用本地固化的Cache进行DNS域名解析
14070,写盘操作可能会丢失
14076,"新注册用户由于CPU过载被阻塞
·部分已注册成功低优先级的白名单用户，被阻塞，无法发起呼叫
·CPU冲高，系统存在超负荷工作的风险，影响部分已注册用户的正常呼叫"
14077,"1、进入循环处理，有自恢复情况，如果是业务任务或者协议栈进入循环处理，可能导致业务的延迟或者断续
如果时间超过1分钟，会导致系统复位。
2、如果是信令媒体合一设备，复位期间所有新发起业务请求都会失败，所有当前正在进行的业务会中断。
3、如果是单纯信令面设备复位，已经开始的数据不会中断，新发起业务失败。
4、如果是媒体设备复位，当前所有数据业务会中断，新注册业务正常，新呼叫等数据业务会失败。
5、如果系统做了备份冗余，设备复位会导致业务转移到备份设备进行，业务不受影响。"
14078,配置的DNS服务器不能为SBC服务，系统配置中使用到该DNS域名的业务，都会受到影响；如果配置的存在备用DNS服务器，且该DNS没有创建socket失败告警，对系统的影响相对会小些
14079,试用License超期后边界网关上配置的试用License所承载的注册、呼叫将会中断，超期之前业务不会受到影响
14080,可能会引起设备网管操作失败，影响网管对网元的正常的管理，如果为其它网管误配置或者受到网络工具的端口扫描攻击，还会降低设备的性能，使正常运行的业务受到影响降低效率和质量。
14081,系统散热存在问题，环境温度升高
14082,系统功率不足
14083,可能导致系统部分功能丢失
14084,可能会导致系统部分功能丢失或更严重的故障
14085,局部电路可能已经损坏
14086,会引起机框内温度升高
14087,不能正常的管理系统资源
14088,信息不能正常的板间交互。
14089,初始化后确定主备关系，备机主动闭塞本端BFD会话。此为正常场景，无影响。执行手工切换等主备倒换策略。此为正常场景，无影响。 主机BFD会话检测DOWN，触发主备机倒换。此为异常场景，影响主备机状态。
14090,系统上电时，计费模块启动失败，无法进行离线计费，导致商业损失。
14091,Diameter协议栈无法正常工作，CCF网元不能正常计费，导致部分业务中断。对此时要进行计费的用户会计费失败，导致商业损失。
14092,如果边界网关所承载的并发呼叫数量进一步上升，超过系统License配置中针对最大并发在线呼叫许可容量部分的会话建立请求将被拒绝，产生呼损降低系统接通率。随着并发呼叫数量的下降，将恢复正常。
14093,如果现网中边界网关所实际承载的用户总量超过系统License配置中针对最大并发在线注册许可容量，那么超过限制部分的用户将无法成功注册，进而无法呼叫而引起用户的不满。
14094,由于备机长时间未检测到BFD控制报文，导致备机判定BFD链路故障，且本端不具备接管主机业务的条件。
14095,接口创建失败
14096,ZXUN B200不能及时将ACR发给CCF，当ACR不断被写入文件，文件占用的硬盘空间达到配置的最大可用空间后，之后产生的ACR被丢弃，从而无法进行离线计费，导致商业损失。
14097,本地硬盘中实际可存放的积压ACR文件大小小于规划值，若产生的ACR不断被写入文件，硬盘被写满后，之后产生的ACR被丢弃，从而无法进行离线计费，导致商业损失。
14098,无法进行NTP时间同步
14099,B200与网络时间不一致，导致业务统计时间有误差。
14100,SBC和NMS的直连接口的性能统计指标超过配置的门限值，该指标相关的业务可能存在异常。
14101,主备单板之间无法通信，无法进行主备之间数据同步，主备功能不可用，影响系统可靠性。
14103,本告警往往是由于电源电压不稳引起，电压低于严重低门限，可能会引起单板掉电、风扇转速过低，导致系统运行异常。
14104,单板或单板的后插卡下电。
14105,单板CPU硬件错误可能导致单板无法正常工作，业务可能无法正常运行。
14106,链路状态异常
19040110,可能导致设备响应慢
19040111,可能导致设备不可用
24011901,MS90 WEB页面无法打开，影响全网业务，无法召开会议。
24011902,H323终端无法呼叫上会，全网终端无法入会。
24011903,影响全网会控业务
24011904,部分终端无法获取MCU资源，影响部分终端会议业务
24011905,转速过慢，引起设备温度上升
24011906,对业务无影响，可能减短风扇寿命。
24011907,可能导致MCU单板掉电或重启，可能影响全网业务，无法召开会议。
24011908,温度过高影响设备性能，可能影响全网业务，无法召开会议。
24011909,部分终端无法获取MCU资源，影响部分终端会议业务
24011910,影响会议管理服务器性能
24011911,影响MCU性能
201109286,根据附加字段中的源告警编号进行分析
201109289,网口丢数据或不通
201710206,可能导致重激活
201710207,可能导致重启
201710208,重新切换同步源
201710209,版本发生回退情况
2017102010,可能导致CP重启
2017102011,影响基站KPI指标
2017102026,可能会导致板卡重启
2017102027,板卡重启
2018052309,硬盘故障
2020122802,设备局部故障恢复
