序号,含义,备注,上线时间
1,党政军机关,,
2,党政军宿舍,,
3,武警军区,,
4,市、县级党政军机关,,
5,重要星级酒店,,
6,重要风景区,,
7,高铁,,
8,高速公路,,
9,火车站,,
10,长途汽车站,,
11,机场,,
12,普铁,,
13,地铁,,
14,一般星级酒店,,
15,商业中心,,
16,一般风景区,,
17,城区道路,,
18,休闲娱乐场所,,
19,企事业单位,,
20,写字楼,,
21,会展中心,,
22,码头,,
23,国道省道,,
24,集贸市场,,
25,体育场馆,,
26,广场公园,,
27,医院,,
28,高校,,
29,中小学,,
30,航道,,
31,郊区道路,,
32,别墅群,,
33,低层居民区,,
34,高层居民区,,
35,城中村,,
36,工业园区,,
37,乡镇,,
38,村庄,,
39,山农牧林,,
40,近水近海域,,
41,公墓,,
42,边境小区,,
43,沙漠戈壁,,
44,其他,,
1001,省内一干,,
1002,省内二干,,
1003,本地骨干,,
1004,本地汇聚,,
1005,本地接入,,
