ID,TXT,备注
1,处理器模块,
2,输入输出外部设备,
3,话务处理,
4,计费系统,
5,中继与传输,
6,信令与IP,
7,操作维护,
8,动力告警,
9,数据配置,
10,网管故障,
11,信源故障,
12,设备故障,
13,主机系统,
14,数据库系统,
15,业务处理,
16,计费处理,
17,对外接口,
18,信令模块,
19,UPS告警,
20,整流电源告警,
21,市电告警,
22,油机告警,
23,蓄电池组,
24,太阳能,
25,风能,
26,动环监控系统,
27,温度告警,
28,湿度告警,
29,火警告警,
30,水浸告警,
31,门禁告警,
32,防盗告警,
33,空调告警,
34,设备,
35,通信,
36,维护,
37,环境,
38,网管,
39,硬件告警,
40,连通性告警,
41,设备性能告警,
42,动力环境,
43,安全告警,
44,系统告警,
45,业务性能告警,
46,计费告警,
47,动力电源,
48,软件系统,
49,通信故障,
50,信令类故障,
51,电源模块,
52,风扇模块,
53,机框,
54,信令或IP,
1001,SLA告警,
1100,未知,
1101,动力环境告警,
1102,市电异常告警,
1103,输出告警,
1104,综合防盗,
1105,基础电池告警,
1106,服务质量告警,
1107,通信告警,
1108,网络连接告警,
1109,环境告警,
1110,设备告警,
1111,通信问题,
1112,输入告警,
1115,市电异常告警,
1116,非法出入告警,
1117,被监控设备通信中断告警,
1118,电池告警,
1119,空调防盗告警,
1120,模块告警,
1121,监控系统告警,
1122,采集设备通信中断告警,
1123,烟雾告警,
1124,整流模块告警,
1125,系统故障告警,
1126,链路告警,
1127,性能告警,
1128,KPI性能告警,
1129,协议告警,
1130,处理失败告警,
1131,网管软件,
1133,红外告警,
1135,空调工作异常告警,
1136,风路系统告警,
1137,空调大电流告警,
1138,七号信令,
1139,处理能力负荷,
1140,消息负荷,
1141,模块系统,
1142,OMU系统,
1143,补丁系统,
1144,账户管理系统,
1145,配置管理,
1146,设备管理,
1147,输入输出设备,
1148,话务统计,
1149,备份管理,
1150,补丁安装,
1151,事务操作,
1152,OMU故障,
1153,OMU倒换,
1154,补丁异常,
1155,设备故障,
1156,配置异常,
1157,校验失败,
1158,性能,
1159,服务质量,
1160,通讯,
1161,网管硬件,
1162,连通性告警 ,
1163,某ATM口有SDH/SONET无法使用,
1164,系统数据配置异常,
1165,处理故障,
1166,端口告警,
1167,网管告警,
1168,操作维护,
1169,网管断连,
1170,对外接口,
1171,信令模块,
1172,环境故障,
1173,业务,
1174,安全,
1175,处理出错,
1176,运行系统,
1177,事件告警(弃用),
1178,单板故障,
1179,局数据问题,
1180,内存资源管理,
1181,文件系统,
1182,高压配电告警,
1183,高压操作电源告警,
1184,低压配电告警,
1185,电容补偿设备告警,
1186,谐波抑制设备告警,
1187,变压器告警,
1188,发电机告警,
1189,燃料电池告警,
1190,变换设备告警,
1191,旁路告警,
1192,整流器告警,
1193,逆变器告警,
1194,辅助及控制部件告警,
1195,输出中断告警,
1196,压缩机告警,
1197,水路系统告警,
1198,监控故障告警,
1199,压缩机故障,
1200,风机告警,
1201,输入电源告警,
1202,门碰告警,
1203,玻破告警,
1204,振动告警,
1205,被盗告警,
1206,摄像机告警,
1207,电池恒温箱告警,
1208,电压告警,
1209,电源告警,
1210,辅助告警,
1211,整流设备告警,
1212,门开告警,
1213,存储,
1214,平台,
1215,虚拟化,
1216,主板,
1217,CPU,
1218,硬盘,
1219,Bmc,
1220,缓存卡,
1221,固件版本,
1222,网络性能告警,
1223,安全性能告警,
1224,内存资源的管理,
1225,端口故障,
1226,清除告警,
1227,流量告警,
1228,同步网,
1229,新建链接告警,
1230,任务拥塞告警,
1231,业务队列拥塞告警,
1232,TIS负载告警,
1233,流量异常告警,
1234,新建请求数告警,
1235,在线用户数 告警,
1236,在线回源任务数告警,
1237,离线回源任务数告警,
1238,CPU性能告警,
1239,内存占用率告警,
1240,硬盘占用率告警,
