ID,TXT
1,核心网
2,TD无线网
3,2G无线网
4,数据网
5,传输网
6,动环网
7,LTE
8,IMS
10,家客
11,集客和家客
12,3G无线网
13,核心网CS 
14,核心网PS
15,移动数通
101,2G
102,3G
103,4G
104,Wlan
105,高铁
106,FDD
107,直放站
108,5G
109,RTK
119,空间点
211,CS域-软交换
212,CS域-LTE
221,PS域-LTE
222,PS域-PCC
223,PS域-GPRS
230,IMS域
241,信令网-STP
242,信令网-DRA
250,配套设备
301,IP承载网
302,CMNET
303,MDCN
401,SDH
402,WDM
403,OTN
404,PTN
405,PON
406,传输网管
407,时钟同步
408,卫星网
409,OLP
500,动环
600,安全
601,网络云
701,公共
702,管理
703,节目信息服务
704,互联网电视
801,业务网
802,智能网
803,能力开放
804,业务平台配套设备
830,业务支撑平台
831,业务支撑平台-业务系统
832,业务支撑平台-业务支撑系统
901,网管网
902,IDC
903,云平台
1001,核心侧
1002,无线侧
1003,LTE无线
1004,直放站和室分
1100,集客
1201,传输侧
1202,数据侧
1311,移动边缘云-硬件资源
1312,移动边缘云-虚拟资源
1313,移动边缘云
2001,NFV
2002,5GC
2003,2B业务平台
2004,2C业务平台
2005,vEPC
2006,vIMS
2007,5G消息
2008,边缘云
2009,vCS
2010,信令网
2011,大区网络云-硬件资源
2012,大区网络云-虚拟资源
2013,大区网络云-MANO
3001,移动业务
3002,增值业务
3003,家庭业务
3004,集团业务
3099,故障工单管控
3101,网络舆情
3201,地震告警
3202,气象预警
4006,时钟同步网
4007,EMS
5001,动力设备
5002,环境设备
6001,集客接入设备
6002,家客接入设备
7001,内容网络
9001,私有云
9002,公有云
10001,话务网管
10002,数据网管
10003,传输网管(old)
10004,动环网管
10005,信令监测系统
10006,业务拨测系统
10007,性能管理系统
10008,网优系统
10009,EOMS系统
10010,厂家网管
10999,基他网管系统
