ID,TXT
0,未进行细分告警
1,基站子系统设备告警
2,HLR告警
3,环境监控告警
4,性能告警
7,STP告警
8,传输告警
9,链路告警
11,OMC告警
20,智能网设备告警
21,智能网软件告警
22,智能网性能告警
23,智能网环境告警
24,智能网通讯告警
30,短信中心告警
40,GPRS设备告警
47,OSS与网元断连
48,处理器模块故障
49,控制系统告警
50,其他网元级外告
51,BSC告警
52,BTS告警
53,基站外告（其他）
55,EMG基站告警
56,动力环境告警（BSC以上级网元）
57,动环下一次电告警
60,扩展录音通知板
61,目的点不可达告警
62,信令链路组退出业务
63,中继群退出业务
64,7号信令链故障
65,中继电路退出业务
66,路由不可达
67,64K信令链路板
68,退服告警
69,交流电停电
70,低电压告警
71,门禁告警
72,A接口告警
73,载波告警
74,2M电路交换板
75,155M光交换板
76,基站CBCH告警
77,其他功能模块板
78,选组级T时分单元故障
79,选面级S空分单元故障
80,其他扩展TST单元故障
81,传输故障（光纤）
82,传输故障（BSC至基站电路）
83,传输故障（BSC至MSC电路）
84,传输故障（局间电路）
85,业务请求拥塞
86,系统局部模块重新装载
87,传输故障（GB接口）
88,高温告警
90,宕机告警
300,传输故障（一次群信号干扰）
301,传输故障（光信号干扰）
302,传输故障（无局向）
400,风扇故障
401,CP状态不正常
402,EM扩展模块错误
403,备份信息出错
404,半永久性连接错误
405,系统重启
406,AUDIT阈值监测告警
407,路由限制告警
408,网络同步错误
409,信令异常事件
410,端口闭塞
411,用户的不兼容数据监测
412,自动SIZE监视
413,中继路由监视
414,信令错误监视
415,回声抑止板
416,TRAR缓冲池
417,软件错误
418,软件模块预定事件
419,文件异常监测
420,事件异常监测
421,智能网管理接口文件错误
422,IPN错误
423,SPG不可用
424,数据传输适配板
425,7号信令适配板
426,CP和AP通信错误
427,AP文件处理错误
428,SP工作状态不正常
429,SP传送文件失败
430,SP重启动
431,SPNODE自动闭塞
432,计费输出到目的地故障
433,AP文件传送异常
481,CP故障
482,RP故障
483,RPBUS错误
485,其他输入输出接口故障
486,APG输入输出接口故障
487,IOG输入输出接口故障
488,AP病毒功能错误
489,AP系统分析告警
490,AP错误
491,AP单边
492,半永久连接建立失败
493,外部告警接收器错误
494,AP重新启动告警
495,小区激活闭塞监视
496,AP错误(GENERALERROR)
529,基站外告 (烟感告警)
531,基站外告（市电告警）
532,基站外告（低压告警）
533,基站外告（整流器告警）
534,基站外告（门禁告警）
535,基站外告（消防告警）
536,基站外告（空调告警）
537,基站外告 (水浸告警)
538,基站外告 (防盗告警)
539,一次下电
543,基站外告（熔丝告警）
544,基站外告（温度告警）
545,基站外告（雷击告警）
546,基站外告（湿度告警）
547,基站外告（高压告警）
550,MTP3bLink故障
561,发电告警
600,[无线告警]VIP小区退服时长超限
601,[无线告警]非VIP小区退服时长超限
602,[无线告警]BSC所辖小区退服数目超限
603,[无线告警]地市所辖小区退服数目超限
604,[无线告警]BSC所辖基站停市电数目超限
605,[无线告警]BSC所辖基站蓄电池欠压数目超限
606,[无线告警]地市所辖基站停市电数目超限
607,[无线告警]地市所辖基站蓄电池欠压数目超限
610,智能巡检异常
611,关口局路由差异
681,RRU退服告警
682,衍生告警
684,OLT退服
689,核心网衍生基站退服
821,基站传输告警
968,AP下线/退服
14001,网元时钟不同步
14002,未清除特殊处理 
14003,对端网元故障引起本端告警
