序号,推送告警消息字段,对应ES字段,匹配数据库,字段中文解释,字段值类型,数据说明,,字段类型及长度
1,network_type_top,NETWORK_TYPE_ID,一级专业ID,一级专业分类,数值型,见sheet“network_type_top”,,INTEGER
2,org_severity,ALARM_LEVEL,网管告警级别,网管告警级别,数值型,见sheet“org_severity”,,INTEGER
3,region_name,CITY_NAME,地市,地区,字符串型,福州市、漳州市等9地市，+省公司,,VARCHAR2(32)
4,active_status,CANCEL_STATUS,清除状态,告警清除状态,数值型,0已清除，1活动 ，2 超时清除 ，3 手工清除,2022-8-22更新数据说明,INTEGER
5,city_name,COUNTY_NAME,区县,县市,字符串型,鼓楼区等,,VARCHAR2(32)
6,eqp_label,EQUIPMENT_NAME,网元名称,网元名称,字符串型,,,VARCHAR2(255)
7,eqp_object_class,EQP_OBJECT_ID,设备类型ID,设备类型,数值型,见sheet“eqp_object_class”,,INTEGER
8,vendor_name,VENDOR_NAME,设备厂家,设备厂家名称,字符串型,华为、中兴等,,VARCHAR2(40)
9,vendor_id,VENDOR_ID,,设备厂家,数值型,建议不关注该字段，该字段和vendor_name配套,,INTEGER
10,alarm_resource_status,ALARM_RESOURCE_STATUS,工程状态,告警工程状态,数值型,见sheet“alarm_resource_status”,,INTEGER
11,locate_info,EVENT_LOCATION,事件定位信息,定位信息,字符串型,,,VARCHAR2(255)
12,ne_label,,,告警对象网元名称,字符串型,,,VARCHAR2(255)
13,object_level,,,告警对象重要级别,数值型,建议不关注该字段,,INTEGER
14,professional_type,,,专业（旧概念）,数值型,建议不关注该字段,,INTEGER
15,network_type,NETWORK_SUB_TYPE_ID,二级专业,二级专业分类,数值型,见sheet“network_type”,,INTEGER
16,org_type,ORG_TYPE,告警类别,告警类别,数值型,见sheet“org_type”,816值为事件告警,INTEGER
17,vendor_type,VENDOR_EVENT_TYPE,,厂家原始告警类别,字符串型,,,VARCHAR2(64)
18,send_jt_flag,SEND_JT_FLAG,是否需要上报集团,是否需要上报集团,数值型,1是，0否,,INTEGER
19,title_text,ALARM_NAME,告警标题,告警标题,字符串型,,,VARCHAR2(255)
20,standard_alarm_name,ALARM_STANDARD_NAME,告警标准化名称,告警标准名,字符串型,,,VARCHAR2(4000)
21,standard_alarm_id,ALARM_STANDARD_ID,告警标准化ID,网管告警ID,字符串型,0103-007-006-10-000138,,VARCHAR2(32)
22,standard_flag,ALARM_STANDARD_FLAG,告警标准化标志,标准化标志,数值型,1 无梳理表；2 标准化成功；3 标准化失败,,INTEGER
23,vendor_severity,VENDOR_SEVERITY,,厂家原始告警级别,字符串型,,,VARCHAR2(64)
24,probable_cause,,,厂家告警号,字符串型,,,VARCHAR2(255)
25,nms_alarm_id,NMS_ALARM_ID,网管告警ID,告警流水号,字符串型,厂家原始的流水号,,VARCHAR2(255)
26,probable_cause_txt,EVENT_PROBABLE_CAUSE_TXT,事件可能原因描述,告警可能原因描述,字符串型,,,VARCHAR2(255)
27,preprocess_manner,,,预处理方式,数值型,建议不关注该字段,,INTEGER
28,event_time,EVENT_TIME,事件发生时间,告警发生时间,日期时间,YYYY-MM-DD HH24:MI:SS,,DATE not null
29,time_stamp,EVENT_COLLECTION_TIME,,告警发现时间,数值型,,,INTEGER not null
30,cancel_time,CANCEL_TIME,事件清除时间,告警清除时间,日期时间,YYYY-MM-DD HH24:MI:SS,,DATE
31,fp0_fp1_fp2_fp3,ORIG_ALARM_FP,告警流水号,告警指纹fp,字符串型,告警指纹,,VARCHAR2(255)
32,cfp0_cfp1_cfp2_cfp3,ORIG_ALARM_CLEAR_FP,事件清除FP,清除告警指纹fp,字符串型,告警清除指纹，活动告警和清除告警一样,,VARCHAR2(255)
33,machine_room_info,MACHINE_ROOM_INFO,机房信息,机房信息,字符串型,机房名称,,VARCHAR2(255)
34,int_id,,,告警对象ID,数值型,建议不关注该字段,,INTEGER not null
35,redefine_severity,EVENT_PROVINCE_LEVEL,省内网管告警级别,省内网管告警级别,数值型,同org_severity，这个级别作用于派单,,INTEGER
36,type_keycode,TYPE_KEYCODE,类别关键字,类别关键字,字符串型,,,VARCHAR2(127)
37,ne_location,NE_LOCATION,,网元定位信息,字符串型,,,VARCHAR2(255)
38,alarm_explanation,EVENT_EXPLANATION,,告警解释,字符串型,,,VARCHAR2(4000)
39,alarm_explanation_addition,EVENT_EXPLANATION_ADDITION,,告警解释辅助字段,字符串型,,,VARCHAR2(255)
40,maintain_group,MAINTAIN_TEAM,主派维护组,维护单位信息,字符串型,福州罗源OLT维护组,,VARCHAR2(128)
41,site_type,SITE_TYPE,站点类型,站点类型,字符串型,,,INTEGER
42,sub_alarm_type,EVENT_SUB_TYPE_ID,事件子类型,告警子类型,数值型,见sheet“sub_alarm_type”,,INTEGER
43,event_cat,EVENT_CAT,事件描述,事件类型,字符串型,,,VARCHAR2(255)
44,nms_name,,,专业网管名称,字符串型,,,VARCHAR2(64)
45,city_id,COUNTY_ID,区县ID,县市Id,数值型,,,INTEGER
46,remote_eqp_label,REMOTE_EQUIPMENT_NAME,对端设备名称,对端设备名称,字符串型,,,VARCHAR2(255)
47,remote_resource_status,REMOTE_RESOURCE_STATUS,对端设备工程状态,对端设备工程状态,数值型,见sheet“alarm_resource_status”,,INTEGER
48,remote_proj_sub_status,,,对端设备工程细分状态,数值型,建议不关注该字段,,INTEGER
49,remote_int_id,,,对端设备网元ID,数值型,,,INTEGER
50,proj_name,,,工程名,字符串型,,,VARCHAR2(255)
51,proj_oa_file_content,,,网元工程公文正文,字符串型,,,VARCHAR2(255)
52,business_region_ids,,,业务覆盖区域,字符串型,,,VARCHAR2(255)
53,business_regions,,,业务覆盖区域名,字符串型,,,VARCHAR2(255)
54,remote_object_class,REMOTE_OBJECT_CLASS,对端设备类型ID,对端设备类型,数值型,见sheet“eqp_object_class”,,INTEGER
55,time_stamp_c,CLEAR_COLLECTION_TIME,清除事件采集时间,清除告警采集时间,日期时间,YYYY-MM-DD HH24:MI:SS,,DATE
56,alarm_reason,ALARM_REASON,,断站告警原因,字符串型,,,VARCHAR2(255)
57,gcss_client,,,集客客户,字符串型,,,VARCHAR2(255)
58,gcss_client_name,,,集客客户名称,字符串型,,,VARCHAR2(255)
59,gcss_client_num,,,集客客户数量,数值型,,,INTEGER
60,gcss_client_level,,,集客客户级别,数值型,,,INTEGER
61,gcss_service,,,集客业务,字符串型,,,VARCHAR2(255)
62,gcss_service_num,,,集客业务数量,数值型,,,INTEGER
63,gcss_service_level,,,集客业务级别,数值型,,,INTEGER
64,gcss_service_type,,,集客产品,字符串型,,,VARCHAR2(255)
65,business_system,,,业务系统,字符串型,,,VARCHAR2(255)
66,ne_ip,EQUIPMENT_IP,网元IP,网元IP,字符串型,,,VARCHAR2(255)
67,layer_rate,,,标准化层速率,数值型,,,INTEGER
68,circuit_id,CIRCUIT_NO,电路代号,电路ID,字符串型,,,VARCHAR2(255)
69,alarm_abnormal_type,,,异常告警类型,数值型,建议不关注该字段,,INTEGER
70,proj_oa_file_id,,,网元工程公文号,字符串型,,,VARCHAR2(128)
71,gcss_client_grade,,,集客客户属性,数值型,,,INTEGER
72,effect_circuit_num,,,影响电路数,数值型,,,INTEGER
73,prehandle,,,预处理,数值型,建议不关注该字段,,INTEGER
74,object_class_text,OBJECT_CLASS_TEXT,告警对象设备类型,网元类型(text),字符串型,,,VARCHAR2(128)
75,board_type,,,设备单板,数值型,,,INTEGER
76,proj_start_time,PROJ_START_TIME,工程开始时间,工程开始时间,日期时间,YYYY-MM-DD HH24:MI:SS,,DATE
77,proj_end_time,PROJ_END_TIME,工程结束时间,工程结束时间,日期时间,YYYY-MM-DD HH24:MI:SS,,DATE
78,object_class,OBJECT_CLASS_ID,,告警对象设备类型,数值型,见sheet“eqp_object_class”,,INTEGER
79,logic_alarm_type,,,告警逻辑分类,数值型,见sheet“logic_alarm_type”,,INTEGER
80,logic_sub_alarm_type,,,告警逻辑子类,数值型,见sheet“logic_sub_alarm_type”,,INTEGER
81,effect_ne,,,该事件对设备的影响,数值型,见sheet“effect_ne”,,INTEGER
82,effect_service,,,该事件对业务的影响,数值型,见sheet“effect_service”,,INTEGER
83,special_field14,ROOM_CUID,,机房CUID,字符串型,"如DEVICEROOM-0598-01470、
ROOM-617ecd6589b242e489f71be5152a222a",2022-1-25新增,VARCHAR2(255)
84,special_field7,NE_ID,网元UUID,网元UUID,字符串型,182e2b70-6372-11e7-a9a3-f8db88ab29d1，如有需要请自行在前面补充UUID:,2023-4-19新增,VARCHAR2(255)
85,special_field21,PORT_ID,端口UUID,端口UUID,字符串型,UUID:f35c10c0-62ae-11ea-ad8d-fa163e09fe2d,2023-4-19新增,VARCHAR2(255)
86,alarm_source,ALARM_SOURCE,告警来源,告警来源,字符串型,如3500FHCS3,2023-4-19新增,VARCHAR2(255)
87,business_layer,BUSINESS_LAYER,,业务层级,数值型,见sheet“business_layer”,2023-6-25新增,INTEGER
88,alarm_intend_send_time,,,预处理时间,数值型,单位：分钟,2024-03-14新增,INTEGER
89,alarm_text,SRC_ORG_ALARM_TEXT,原始告警报文,告警正文,字符串型,,2024-03-14 仅在“pubnuojiya”队列新增,这个应该超过4000了，亿阳库表由多个字段来存储
90,root_eqp_label,ROOT_EQP_LABEL,根因网元,xxxx,VARCHAR2(1000),root_eqp_label,,VARCHAR2(256)
91,event_alarm_reason,EVENT_REASON,事件定界定位,事件定界定位,VARCHAR2(4000),event_alarm_reason,,VARCHAR2(4000)
92,event_effect_desc,EVENT_EFFECT,事件影响,事件影响,VARCHAR2(4000),event_effect_desc,,VARCHAR2(4000)
93,event_record_id,,,事件流水号,VARCHAR2(255),event_record_id,,VARCHAR2(255)
94,circuit_no,CIRCUIT_NO,电路代号,电路代号,VARCHAR2(500),circuit_no,集客特有,VARCHAR2(1024)
95,product_type,PRODUCT_TYPE,产品类型,产品类型,VARCHAR2(255),product_type,集客特有,VARCHAR2(64)
96,circuit_level,CIRCUIT_LEVEL,电路级别,电路级别,integer,见sheet“circuit_level”,集客特有,INTEGER
97,gcss_client_level,GCSS_CLIENT_LEVEL,集客客户级别,集客客户级别,integer,gcss_client_level,"集客特有,5G特有",INTEGER
98,gcss_service_level,GCSS_SERVICE_LEVEL,集客业务级别,集客业务级别,integer,gcss_service_level,"集客特有,5G特有",INTEGER
99,gcss_client_grade,GCSS_CLIENT_GRADE,集客客户属性,集客客户属性,integer,gcss_client_grade,集客特有,INTEGER
100,gcss_client_name,GCSS_CLIENT_NAME,集客客户名称,集客客户名称,VARCHAR2(255),gcss_client_name,"集客特有,5G特有",VARCHAR2(255)
101,gcss_service_type,GCSS_SERVICE_TYPE,集客产品,集客产品,VARCHAR2(255),gcss_service_type,集客特有,VARCHAR2(255)
102,gcss_client,GCSS_CLIENT,集客客户,集客客户,VARCHAR2(255),gcss_client,"集客特有,5G特有",VARCHAR2(255)
103,gcss_client_num,GCSS_CLIENT_NUM,集客客户数量,集客客户数量,integer,gcss_client_num,集客特有,INTEGER
104,gcss_service,GCSS_SERVICE,集客业务,集客业务,VARCHAR2(255),gcss_service,集客特有,VARCHAR2(255)
105,gcss_service_num,GCSS_SERVICE_NUM,集客业务数量,集客业务数量,integer,gcss_service_num,集客特有,INTEGER
106,effect_circuit_num,EFFECT_CIRCUIT_NUM,影响电路数,影响电路数,integer,effect_circuit_num,集客特有,INTEGER
107,business_system,BUSINESS_SYSTEM,业务系统,业务系统,VARCHAR2(255),business_system,5G特有,VARCHAR2(255)
108,business_type,BUSINESS_TYPE,业务类型,业务类型,integer,business_type,5G特有,INTEGER
109,irms_grid_name,IRMS_GRID_NAME,所属网格名称,所属网格名称,VARCHAR2(255),irms_grid_name,家宽特有,VARCHAR2(255)
110,admin_grid_id,ADMIN_GRID_ID,所属网格编码,所属网格编码,integer,admin_grid_id,家宽特有,INTEGER
111,home_client_num,HOME_CLIENT_NUM,影响用户数,影响用户数,integer,home_client_num,家宽特有,INTEGER
112,root_network_type_top,root_network_type_top,根因专业,根因专业,VARCHAR2(255),见sheet“network_type_top”,2024/7/16,INTEGER
113,event_summary,EVENT_SUMMARY,预处理步骤及结果,预处理步骤及结果,VARCHAR2(255),event_summary,2024/7/16,VARCHAR2(4000)
114,event_root_category,EVENT_ROOT_CATEGORY,故障根因分类,根因分类,VARCHAR2(255),event_root_category,2024/8/14,INTEGER
115,special_field17,FAULT_DIAGNOSIS,故障初判,故障初判,VARCHAR2(255),故障原因初判，故障处理建议,2024/9/6,VARCHAR2(255)
116,locate_info,CI,CI,定位信息,VARCHAR2(255),定位信息，对应你要的CI,20241213,VARCHAR2(255)
117,extra_id2,EXTRA_ID2,,业务层级,VARCHAR2(255),业务层级见字典extra_id2,20241213,VARCHAR2(255)
118,extra_string1,EXTRA_STRING1,,通用的字符串扩展字段1,VARCHAR2(255),业务层级的扩展字段,20241213,VARCHAR2(255)
119,port_num,PORT_NUM,采集端口号,采集端口号,VARCHAR2(255),采集端口号，见字典port_num,20241213,VARCHAR2(255)
120,ne_admin_status,NE_ADMIN_STATUS,告警对象管理状态,告警对象管理状态,VARCHAR2(255),告警对象管理状态见字典ne_admin_status,20241213,VARCHAR2(255)
121,related_maintain_group,RELATED_MAINTAIN_GROUP,抄送维护组,维护班组,VARCHAR2(256),相关维护角色,20250410,VARCHAR2(256)
