#! [GET /_xpack/sql] is deprecated! Use [GET /_sql] instead.
 EVENT_NUMBER  |     事件等级      |      地市       |      区县       |                       网元名称                        |     设备类型      |     设备厂家      |                                                                          定位信息                                                                           |     派单时间      |       维护组        |    网络一级分类     |    网络二级分类     |    网络三级分类     |     二级专业      |     一级专业      |     事件来源      |                                               事件名称                                               |                                               告警标题                                               |        事件标准ID        |         事件发生时间         |         事件创建时间         |         告警发现时间         |         事件清除时间         |     事件清除时间（转时间格式）      |      工单号      |       工单子单最后清除时间       |                         事件FP                          |                   告警FP                    |   省内网管告警级别    |        告警清除发现时间        |   是否满足派单规则    |DISPATCH_REASON|    省内派单级别     |     派单时延      |     是否子事件     |     是否根事件     |                                                                           主事件FP                                                                            |              机房信息               |   通知单转处理单标识   |    自研告警预警号    |     是否夜间
---------------+---------------+---------------+---------------+---------------------------------------------------+---------------+---------------+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------------+---------------+---------------+---------------+---------------+---------------+---------------+--------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------+----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+---------------+------------------------+-------------------------------------------------------+-------------------------------------------+---------------+------------------------+---------------+---------------+---------------+---------------+---------------+---------------+------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------+---------------+---------------+---------------
574204838      |三级             |宁德市            |福安市            |NDEFA坂中3-OLT118-MA5800-X17                         |706            |华为             |NDEFA坂中3-OLT118-MA5800-X17,FRAME 0,SLOT 10,CARD -1,SUBSLOT 65535,SUBCARD -1,PORT 2, Paras:机框=0, 槽=10, 子槽=65535, 端口=2                                     |null           |宁德福安OLT维护组        |传输网            |本地接入设备         |OLT            |PON            |传输网            |3500HWCSA      |OLT上联单边路由中断-LACP链路故障                                                                              |LACP链路故障                                                                                          |WLSJ-WL-CS-03-80-0109 |2026-01-24T02:38:12.000Z|2026-01-24T02:38:38.000Z|2026-01-24T02:38:36.000Z|2026-01-24T05:42:56.000Z|2026-01-24T05:42:56.000Z|null           |2026-01-24T05:42:56.000Z|3683081297_1099511073_2566993891_91511465_2            |3683081297_1099511073_2566993891_91511465  |1              |2026-01-24T05:43:26.000Z|0              |异常事件抑制派单       |3              |null           |0              |0              |null                                                                                                                                                        |宁德福安坂中七楼无线机房                     |null           |166955         |0
571042159      |四级             |漳州市            |东山县            |漳州东山西埔冬古村新乡250号民宅一楼路边机房-开关电源-2                     |30014          |高新兴            |基站_漳州市_OLT机房_东山县_无线维帝电源                                                                                                                                  |null           |漳州东山县城网格海格基站维护组1  |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环电压异常事件-交流输入XX电压过低告警                                                                             |交流输入XX电压过低告警                                                                                      |WLSJ-WL-DH-04-80-0033 |2026-01-22T17:23:17.000Z|2026-01-22T17:23:25.000Z|2026-01-22T17:23:23.000Z|2026-01-22T19:04:05.000Z|2026-01-22T19:04:05.000Z|null           |2026-01-22T19:04:05.000Z|2099016501_1432859129_1719419277_3684325340_2          |2099016501_1432859129_1719419277_3684325340|3              |2026-01-22T19:04:14.000Z|1              |事件已清除          |3              |720            |0              |0              |3009225456_3523579256_1263603882_3785632044_2                                                                                                               |漳州东山西埔冬古村新乡250号民宅一楼路边机房          |null           |2034277        |0
570086440      |四级             |宁德市            |屏南县            |宁德屏南寿山一楼扩建机房-开关电源-1                                |30014          |高新兴            |基站_宁德市_全业务/汇聚节点_屏南县_华为开关电源1                                                                                                                              |null           |宁德屏南县城网格综合基站维护组1  |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                   |交流输入故障告警                                                                                          |WLSJ-WL-DH-04-80-0043 |2026-01-22T05:04:50.000Z|2026-01-22T05:04:55.000Z|2026-01-22T05:04:53.000Z|2026-01-22T05:07:32.000Z|2026-01-22T05:07:32.000Z|null           |2026-01-22T05:07:32.000Z|130929466_3849469595_2422465523_25972457_2             |130929466_3849469595_2422465523_25972457   |3              |2026-01-22T05:07:40.000Z|1              |事件已清除          |1              |3              |0              |0              |null                                                                                                                                                        |宁德屏南寿山一楼扩建机房                     |null           |2034262        |0
573418006      |四级             |厦门市            |同安区            |[集客]25-5037-厦门-同安-五显-HW-HUB                        |87002          |华为             |【告警对象】25-5037-厦门-同安-五显-HW-HUB;<br>                                                                                                                       |null           |厦门同安集客铁通维护组       |集团专线           |传输专线           |SSAP           |集客             |集客             |直真专线监控系统       |21条集客专线故障事件（最高业务保障等级:AAA,最高跨域级别:跨省专线）-NE_COMMU_BREAK                                              |NE_COMMU_BREAK（仅网管脱管）                                                                             |WLSJ-YW-B-03-80-0035  |2026-01-23T17:43:24.000Z|2026-01-23T17:44:38.000Z|2026-01-23T17:44:35.000Z|2026-01-23T17:55:20.000Z|2026-01-23T17:55:20.000Z|null           |2026-01-23T17:55:20.000Z|988812992_1097502341_3813375372_3897575638_2           |988812992_1097502341_3813375372_3897575638 |2              |2026-01-23T17:55:31.000Z|1              |事件已清除          |2              |12             |0              |0              |null                                                                                                                                                        |                                 |null           |2034294        |0
573173424      |四级             |福州市            |鼓楼区            |[集客]10-2105-福州-鼓楼-福建省海洋预报台-HW-CPE                  |87002          |华为             |【告警对象】10-2105-福州-鼓楼-福建省海洋预报台-HW-CPE;<br>                                                                                                                 |null           |福州集客维护组           |集团专线           |传输专线           |SSAP           |集客             |集客             |直真专线监控系统       |5条集客专线故障事件（最高业务保障等级:AA,最高跨域级别:跨省专线）-NE_COMMU_BREAK                                                |跨省升级告警：NE_COMMU_BREAK（设备脱管）(影响42条电路)                                                              |WLSJ-YW-B-03-80-0035  |2026-01-23T15:08:56.000Z|2026-01-23T15:10:07.000Z|2026-01-23T15:10:05.000Z|2026-01-23T15:10:14.000Z|2026-01-23T15:10:14.000Z|null           |2026-01-23T15:10:14.000Z|2840078432_3095310476_177340984_683606166_2            |2840078432_3095310476_177340984_683606166  |1              |2026-01-23T15:10:25.000Z|1              |事件已清除          |2              |3              |0              |0              |null                                                                                                                                                        |                                 |null           |2034292,166948 |0
573451931      |四级             |厦门市            |同安区            |[集客]25-5055-厦门-同安-南区数据中心B01楼102-HW-HUB             |87002          |华为             |【告警对象】25-5055-厦门-同安-南区数据中心B01楼102-HW-HUB;<br>                                                                                                            |null           |厦门同安集客铁通维护组       |集团专线           |传输专线           |SSAP           |集客             |集客             |直真专线监控系统       |32条集客专线故障事件（最高业务保障等级:AA,最高跨域级别:跨省专线）-NE_COMMU_BREAK                                               |NE_COMMU_BREAK（仅网管脱管）                                                                             |WLSJ-YW-B-03-80-0035  |2026-01-23T18:04:10.000Z|2026-01-23T18:05:25.000Z|2026-01-23T18:05:23.000Z|2026-01-23T18:09:17.000Z|2026-01-23T18:09:17.000Z|null           |2026-01-23T18:09:17.000Z|3171597133_1292236292_4064685985_4125994439_2          |3171597133_1292236292_4064685985_4125994439|2              |2026-01-23T18:09:31.000Z|1              |事件已清除          |2              |12             |0              |0              |null                                                                                                                                                        |                                 |null           |2034294        |0
565789011      |四级             |厦门市            |集美区            |厦门集美黄庄三里238号负一楼276车位旁机房-开关电源-1                     |30014          |高新兴            |基站_厦门市_BBU池基站_集美区_厦门集美黄庄三里238号负一楼276车位旁机房_维谛开关电源1                                                                                                        |null           |厦门集美县城网格和勤基站维护组1  |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                   |交流输入故障告警                                                                                          |WLSJ-WL-DH-04-80-0043 |2026-01-20T10:01:44.000Z|2026-01-20T10:02:56.000Z|2026-01-20T10:02:55.000Z|2026-01-20T10:03:54.000Z|2026-01-20T10:03:54.000Z|null           |2026-01-20T10:03:54.000Z|3989667425_1421837563_3098536230_3183802356_2          |3989667425_1421837563_3098536230_3183802356|3              |2026-01-20T10:04:01.000Z|1              |事件已清除          |1              |3              |0              |0              |null                                                                                                                                                        |厦门集美黄庄三里238号负一楼276车位旁机房          |null           |2034232        |0
568977187      |四级             |宁德市            |福安市            |宁德福安湾坞一楼全业务机房-开关电源-2                               |30014          |高新兴            |基站_宁德市_全业务/汇聚节点_福安市_宁德福安湾坞一楼全业务机房_中兴开关电源                                                                                                                 |null           |宁德福安县城网格综合基站维护组1  |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-电池放电告警                                                                                     |电池放电告警                                                                                            |WLSJ-WL-DH-04-80-0043 |2026-01-21T15:34:08.000Z|2026-01-21T15:36:06.000Z|2026-01-21T15:36:04.000Z|2026-01-21T16:20:09.000Z|2026-01-21T16:20:09.000Z|null           |2026-01-21T16:20:09.000Z|1038494924_95924091_707816634_1502294605_2             |1038494924_95924091_707816634_1502294605   |3              |2026-01-21T16:20:13.000Z|0              |异常事件抑制派单       |2              |null           |0              |0              |2540880218_3723492182_1675696576_3757748387_2                                                                                                               |宁德福安湾坞一楼全业务机房                    |null           |2034258        |0
570942152      |四级             |福州市            |仓山区            |福州仓山星海湾花园地下室负一楼B4201机房-开关电源-1                      |30014          |高新兴            |基站_福州市_BBU池基站_仓山区_中恒ZHM15开关电源                                                                                                                            |null           |福州仓山渠道主城网格超讯基站维护组2|电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环电压异常事件-交流输入XX电压过低告警                                                                             |交流输入XX电压过低告警                                                                                      |WLSJ-WL-DH-04-80-0033 |2026-01-22T16:08:21.000Z|2026-01-22T16:08:31.000Z|2026-01-22T16:08:29.000Z|2026-01-22T17:38:27.000Z|2026-01-22T17:38:27.000Z|null           |2026-01-22T17:38:27.000Z|1860987888_2033659611_2657667914_377838768_2           |1860987888_2033659611_2657667914_377838768 |3              |2026-01-22T17:38:36.000Z|1              |事件已清除          |3              |720            |0              |0              |1481209201_273943957_1429931983_3164873008_2                                                                                                                |福州仓山星海湾花园地下室负一楼B4201机房           |null           |2034276        |0
